logp,category,role,tag,template,context_tag,context,id
-79.44296817100847,electronics,seller,unknown,"well i think there are a lot of opinions about the value, and i think it's good to open a dialog about the value.",init-price,"i would like to offer you {price}, i know their worth and that seems of correct value to me.",49
-84.61590185116523,electronics,buyer,unknown,"this is true, there are larger ones for same price, so i feel my price is fair. i would also pick up the item at your convience.",unknown,"well i think there are a lot of opinions about the value, and i think it's good to open a dialog about the value.",50
-64.2191090261106,electronics,seller,counter-price,that's interesting. i've seen ones my size sell for {price} in some places! picking up the item is a good offer too!,unknown,"this is true, there are larger ones for same price, so i feel my price is fair. i would also pick up the item at your convience.",51
-76.27601399070022,electronics,buyer,counter-price,"really? i have seen them cheaper then that. how about i pick up the item anytime you are free, and i pay {price} for it?",counter-price,that's interesting. i've seen ones my size sell for {price} in some places! picking up the item is a good offer too!,52
-45.56353012772038,electronics,seller,counter-price,that's a pretty good offer. is it possible for you to come up to {price}?,counter-price,"really? i have seen them cheaper then that. how about i pick up the item anytime you are free, and i pay {price} for it?",53
-60.089405013658215,electronics,buyer,insist,since i am picking it up i would like to stay at the {my_price}.,counter-price,that's a pretty good offer. is it possible for you to come up to {price}?,54
-59.130122256159716,electronics,seller,unknown,"hmm ... okay, let me think about if for a minute. you will definitely like this sd card.",insist,since i am picking it up i would like to stay at the {partner_price}.,55
-114.87777865758879,electronics,buyer,counter-price,"i am sure i will, it seems great, i also think you will like not having to leave your home or go out of your way. i would love to buy it, i could even meet you in the middle at {price}.",unknown,"hmm ... okay, let me think about if for a minute. you will definitely like this sd card.",56
-56.01579760377274,electronics,seller,unknown,that sounds even better. i accept your offer and look forward to seeing you. i'm glad we could come to an agreement!,counter-price,"i am sure i will, it seems great, i also think you will like not having to leave your home or go out of your way. i would love to buy it, i could even meet you in the middle at {price}.",57
-3.443879347940896,electronics,seller,offer,<offer>,counter-price,"i am sure i will, it seems great, i also think you will like not having to leave your home or go out of your way. i would love to buy it, i could even meet you in the middle at {price}.",58
-3.568819410226794,electronics,buyer,accept,<accept>,offer,<offer>,59
-5.631888775249492,electronics,seller,intro,hello,<start>,<start>,60
-14.912876858262813,electronics,buyer,unknown,hi i am interested in your {title}.,intro,hello,61
-34.979390353763364,electronics,seller,init-price,great! i have it listed for {listing_price} but am willing to negotiate.,unknown,hi i am interested in your {title}.,62
-12.61658464517728,electronics,buyer,inquiry,what color is it?,init-price,great! i have it listed for {listing_price} but am willing to negotiate.,63
-15.754840682763763,electronics,seller,inform,it is black.,inquiry,what color is it?,64
-11.229581019609988,electronics,buyer,counter-price,would you take {price}?,inform,it is black.,65
-47.377520426350564,electronics,seller,counter-price,it's new so i think {price} is a good deal for both of us.,counter-price,would you take {price}?,66
-31.66991833726193,electronics,buyer,counter-price,would you accept {price} if i pick it up at your location?,counter-price,it's new so i think {price} is a good deal for both of us.,67
-14.50007141205477,electronics,seller,unknown,okay. that works.,counter-price,would you accept {price} if i pick it up at your location?,68
-3.443879347940896,electronics,seller,offer,<offer>,counter-price,would you accept {price} if i pick it up at your location?,69
-3.568819410226794,electronics,buyer,accept,<accept>,offer,<offer>,70
-5.631888775249492,phone,seller,intro,hello,<start>,<start>,71
-48.61645989900766,phone,buyer,unknown,hi there. i had a few questions about the phone you are selling.,intro,hello,72
-8.135551173866297,phone,seller,unknown,sure,unknown,hi there. i had a few questions about the phone you are selling.,73
-30.112255926045002,phone,buyer,inquiry,how old is the phone? i don` t see it stated anywhere.,unknown,sure,74
-14.518020810692004,phone,seller,inform,2 years old,inquiry,how old is the phone? i don` t see it stated anywhere.,75
-57.269601057423216,phone,buyer,inquiry,"hmm ok. it says it` s like new, but 2 years old could possibly warrant a slightly lower price? are you open for negotiation?",inform,2 years old,76
-13.740413232019552,phone,seller,inform,slightly,inquiry,"hmm ok. it says it` s like new, but 2 years old could possibly warrant a slightly lower price? are you open for negotiation?",77
-44.61318847225882,phone,buyer,init-price,the highest i can offer is around {price} dollars. is this too low?,inform,slightly,78
-5.058589192054489,phone,seller,unknown,yes,init-price,the highest i can offer is around {price} dollars. is this too low?,79
-3.443879347940896,phone,seller,offer,<offer>,init-price,the highest i can offer is around {price} dollars. is this too low?,80
-26.44131347265838,phone,buyer,vague-price,what would be your lowest point?,offer,<offer>,81
-15.295474247032939,bike,buyer,intro,good day!,<start>,<start>,82
-21.12635391324379,bike,seller,unknown,this is a rare bike,intro,good day!,83
-30.108016211149696,bike,buyer,unknown,it looks like a great bike in wonderful condition,unknown,this is a rare bike,84
-36.338662076817684,bike,seller,unknown,"it has served me good, i hope you take care of it",unknown,it looks like a great bike in wonderful condition,85
-104.76514047246049,bike,buyer,init-price,"looks like this was made for me, i like the style. how doe {price} for it sound? i would like to pay lower, but sense it's a classic and rare, i thought this would be a fair price.",unknown,"it has served me good, i hope you take care of it",86
-19.072532802983382,bike,seller,unknown,yes i priced it fair,init-price,"looks like this was made for me, i like the style. how doe {price} for it sound? i would like to pay lower, but sense it's a classic and rare, i thought this would be a fair price.",87
-29.586651486977793,bike,buyer,counter-price,hmmm any chance you can go to {price}?,unknown,yes i priced it fair,88
-42.1790569713601,bike,seller,unknown,"i can do that if you pick up today, its a today only special",counter-price,hmmm any chance you can go to {price}?,89
-15.325375732739124,bike,buyer,unknown,gladly!,unknown,"i can do that if you pick up today, its a today only special",90
-8.406512495471448,bike,seller,agree,deal,unknown,gladly!,91
-3.443879347940896,bike,buyer,offer,<offer>,agree,deal,92
-3.568819410226794,bike,seller,accept,<accept>,offer,<offer>,93
-5.352395946682806,housing,seller,intro,hi,<start>,<start>,94
-5.631888775249492,housing,buyer,unknown,hello,intro,hi,95
-24.1424272660556,housing,seller,inquiry,do you care to make an offer?,unknown,hello,96
-47.864073115989406,housing,buyer,inform,"the place sounds nice, but may be a little more than i can afford",inquiry,do you care to make an offer?,97
-29.911316292055446,housing,seller,inquiry,well how much can you soend?,inform,"the place sounds nice, but may be a little more than i can afford",98
-31.537321931519358,housing,buyer,inform,i was looking for something in the 1500-1600 range,inquiry,well how much can you soend?,99
-53.239588605091924,housing,seller,init-price,"that is really unreasonable considering all the immenities and other going rates, you would need to come up to at least {price}",inform,i was looking for something in the 1500-1600 range,100
-78.53999619670275,housing,buyer,unknown,"i have seen some 2 bedrooms for that price, which i could split the cost with a roommate, so even with amenities, this may be out of my range",init-price,"that is really unreasonable considering all the immenities and other going rates, you would need to come up to at least {price}",101
-55.61523978585031,housing,seller,counter-price,it may be then ... the absolute lowest i will go is {price} that is my final offer.,unknown,"i have seen some 2 bedrooms for that price, which i could split the cost with a roommate, so even with amenities, this may be out of my range",102
-62.80347258928588,housing,buyer,counter-price,"ok, i think the most i could spend on this is {price}- we are a ways apart",counter-price,it may be then ... the absolute lowest i will go is {price} that is my final offer.,103
-36.07508699695754,housing,seller,insist,ya that is far too low like i said {my_price},counter-price,"ok, i think the most i could spend on this is {price}- we are a ways apart",104
-47.58062420880816,housing,buyer,unknown,"ok, thanks for your consideration. i will have to keep looking for now.",insist,ya that is far too low like i said {partner_price},105
-14.29547424703344,housing,seller,unknown,good luck,unknown,"ok, thanks for your consideration. i will have to keep looking for now.",106
-7.710665888631531,housing,buyer,quit,<quit>,unknown,good luck,107
-31.56900405174848,electronics,buyer,init-price,"i just saw your ad for the adapters, would you take {price}?",<start>,<start>,108
-64.68750716573581,electronics,seller,counter-price,"hi. no, {partner_price} is very low for it. its a very different {title}. i can accept {listing_price}",init-price,"i just saw your ad for the adapters, would you take {price}?",109
-60.580411772902295,electronics,buyer,counter-price,"i don't want to pay that much, i see there are a few adapters in there that are obsolete. wold you take {price}?",counter-price,"hi. no, {my_price} is very low for it. its a very different {title}. i can accept {listing_price}",110
-19.823902161362344,electronics,seller,agree,"okay, i can accept {partner_price}",counter-price,"i don't want to pay that much, i see there are a few adapters in there that are obsolete. wold you take {price}?",111
-3.443879347940896,electronics,buyer,offer,<offer>,agree,"okay, i can accept {my_price}",112
-13.003447637860585,electronics,buyer,agree,"great, thanks",agree,"okay, i can accept {my_price}",113
-3.568819410226794,electronics,seller,accept,<accept>,agree,"great, thanks",114
-20.73784264143518,electronics,seller,intro,"hello, how are you today",<start>,<start>,115
-48.33754026564957,electronics,buyer,unknown,"hi, very well thank you! so, is the {title} in a good condition?",intro,"hello, how are you today",116
-39.25566691936859,electronics,seller,unknown,it is in great condition. i have barely taken it out of the box.,unknown,"hi, very well thank you! so, is the {title} in a good condition?",117
-29.78002494918558,electronics,buyer,inquiry,how much can you give it for?,unknown,it is in great condition. i have barely taken it out of the box.,118
-14.998424224339464,electronics,seller,init-price,the price is {listing_price},inquiry,how much can you give it for?,119
-24.136597838246377,electronics,buyer,unknown,yeah but its too much for me,init-price,the price is {listing_price},120
-79.46085140545405,electronics,seller,unknown,i understand that would normally be a lot for a used {title} but this item has only been used for one week.,unknown,yeah but its too much for me,121
-111.12307126474039,electronics,buyer,counter-price,"yeah, but there are a lot of different options in the market. i am a student and can only afford what my budget allows me to do so. i can pay {price}. will you accept it?",unknown,i understand that would normally be a lot for a used {title} but this item has only been used for one week.,122
-184.648898194526,electronics,seller,counter-price,"i understand a student's budget, as i have no to long ago graduated myself. i just am already letting it go real cheap. i paid {price} for the product. the only reason i am parting with it is that it only streams the big streaming channels like netflix, hulu, vudu and youtube and i bought a {title} android box combo that will allow me to stream those plus add my own channels. i can't possibly sell it for {partner_price}.",counter-price,"yeah, but there are a lot of different options in the market. i am a student and can only afford what my budget allows me to do so. i can pay {price}. will you accept it?",123
-36.572928485889356,electronics,buyer,counter-price,okay i can only afford {price} that's the last i can pay,counter-price,"i understand a student's budget, as i have no to long ago graduated myself. i just am already letting it go real cheap. i paid {price} for the product. the only reason i am parting with it is that it only streams the big streaming channels like netflix, hulu, vudu and youtube and i bought a {title} android box combo that will allow me to stream those plus add my own channels. i can't possibly sell it for {my_price}.",124
-29.828654891824687,electronics,buyer,intro,have the {title} been used?,<start>,<start>,125
-29.677639906008526,electronics,seller,disagree,"no, they are new and very nice.",intro,have the {title} been used?,126
-3.443879347940896,electronics,seller,offer,<offer>,intro,have the {title} been used?,127
-29.499289163386194,electronics,buyer,inquiry,can i use them with my gaming console?,offer,<offer>,128
-14.58841013858338,electronics,seller,inform,"yes, you can.",inquiry,can i use them with my gaming console?,129
-19.232266328356555,electronics,buyer,inquiry,any of them?,inform,"yes, you can.",130
-7.618016600665949,electronics,seller,inform,yes.,inquiry,any of them?,131
-36.2850228215344,electronics,buyer,inquiry,do you have one in a different color?,inform,yes.,132
-28.180818746394152,electronics,seller,inquiry,"yes, what color are you looking for?",inquiry,do you have one in a different color?,133
-13.740413232019552,electronics,buyer,inform,blue,inquiry,"yes, what color are you looking for?",134
-20.502154405232698,electronics,seller,unknown,i have that color.,inform,blue,135
-38.51289105194223,electronics,buyer,agree,which color is this one? {partner_price} a bit pricey,unknown,i have that color.,136
-18.69094830029601,electronics,seller,unknown,this one is white.,agree,which color is this one? {my_price} a bit pricey,137
-42.31653270023159,electronics,buyer,unknown,"i guess it's a deal, lets see what happens if i accept",unknown,this one is white.,138
-3.568819410226794,electronics,buyer,accept,<accept>,unknown,this one is white.,139
-7.021594984570325,car,seller,intro,hello.,<start>,<start>,140
-52.743248923239,car,buyer,unknown,"hello. i saw your listing and i am interested in your car. however, i have a few questions.",intro,hello.,141
-14.325375732749672,car,seller,unknown,"sure, go ahead.",unknown,"hello. i saw your listing and i am interested in your car. however, i have a few questions.",142
-24.10647894435644,car,buyer,inquiry,has it been in any major accidents?,unknown,"sure, go ahead.",143
-32.20216672149371,car,seller,disagree,"no, i` ve kept it in very {title} condition.",inquiry,has it been in any major accidents?,144
-35.60683548996029,car,buyer,inquiry,"all of the electronics are in working order, correct?",disagree,"no, i` ve kept it in very {title} condition.",145
-25.31015019279768,car,seller,inform,"yes, everything has been checked out recently.",inquiry,"all of the electronics are in working order, correct?",146
-25.270344921426318,car,buyer,init-price,great! would you take {price}? 120k miles is kinda a lot.,inform,"yes, everything has been checked out recently.",147
-72.8057953475427,car,seller,agree,i` m open to negotiate but {partner_price} is a bit low. we could meet in the middle and say 13 000? i` ll include the extra speakers i recently purchased.,init-price,great! would you take {price}? 120k miles is kinda a lot.,148
-35.09871943888922,car,seller,agree,"alright, i think that` s reasonable. we can agree on {partner_price} then.",counter-price,"{price} is fair, however i can only afford paying {price}",149
-7.165504395968894,car,buyer,agree,great!,agree,"alright, i think that` s reasonable. we can agree on {my_price} then.",150
-3.443879347940896,car,seller,offer,<offer>,agree,great!,151
-3.568819410226794,car,buyer,accept,<accept>,offer,<offer>,152
-8.529273708767974,bike,buyer,intro,hi there,<start>,<start>,153
-24.557742544895,bike,seller,unknown,hello. what would you like today?,intro,hi there,154
-53.729757602015916,bike,buyer,init-price,your 2010 {title} looks amazing. looks completely decked out. however {listing_price} is a bit high for me right now. can we negotiate a price?,unknown,hello. what would you like today?,155
-39.4701863825978,bike,seller,init-price,sure. its definitely a great product. i would be willing to take {price},init-price,your 2010 {title} looks amazing. looks completely decked out. however {listing_price} is a bit high for me right now. can we negotiate a price?,156
-27.359343227422087,bike,buyer,unknown,perfect! just what i was gonna offer!,init-price,sure. its definitely a great product. i would be willing to take {price},157
-3.443879347940896,bike,buyer,offer,<offer>,init-price,sure. its definitely a great product. i would be willing to take {price},158
-3.568819410226794,bike,seller,accept,<accept>,offer,<offer>,159
-37.130168324757676,housing,buyer,intro,"i'm interested in this item, but i had some questions",<start>,<start>,160
-15.32537573274934,housing,seller,unknown,"geat, ask away.",intro,"i'm interested in this item, but i had some questions",161
-26.282649867225732,housing,buyer,inquiry,do i have to remove it myself?,unknown,"geat, ask away.",162
-23.491946927862354,housing,seller,disagree,"i am renting out the appartment, you `` don't remove anything''",inquiry,do i have to remove it myself?,163
-22.758335140026006,housing,buyer,inquiry,nice. is it fully furnished?,disagree,"i am renting out the appartment, you `` don't remove anything''",164
-29.349245570944873,housing,seller,disagree,"no, you will need your own `` basic'' furnishing",inquiry,nice. is it fully furnished?,165
-36.685409132330875,housing,buyer,inquiry,"how much is the security deposit, is there one?",disagree,"no, you will need your own `` basic'' furnishing",166
-20.52177294555453,housing,seller,inform,just first and last month rent,inquiry,"how much is the security deposit, is there one?",167
-46.53576691370041,housing,buyer,disagree,"it's a bit pricy, i'm not sure if i can afford it ...",inform,just first and last month rent,168
-42.159007081709795,housing,seller,init-price,"i'm only asking {price}, that is really cheap for the area",disagree,"it's a bit pricy, i'm not sure if i can afford it ...",169
-26.28566580533177,housing,buyer,counter-price,i'd totally take {partner_price}!!! but how about {price} instead?,init-price,"i'm only asking {price}, that is really cheap for the area",170
-27.69153588131363,housing,seller,counter-price,"oops, i ment {listing_price}, how about we meet in the middle at {price}?",counter-price,i'd totally take {my_price}!!! but how about {price} instead?,171
-20.75307767339876,housing,buyer,counter-price,"{price}, and i'll accept",counter-price,"oops, i ment {listing_price}, how about we meet in the middle at {price}?",172
-3.443879347940896,housing,buyer,offer,<offer>,counter-price,"oops, i ment {listing_price}, how about we meet in the middle at {price}?",173
-8.091322004228253,housing,seller,counter-price,how about {price},offer,<offer>,174
-3.568819410226794,housing,seller,accept,<accept>,offer,<offer>,175
-23.983551751375728,bike,seller,intro,hello and thank you for answering my add,<start>,<start>,176
-26.225495766441846,bike,buyer,init-price,"hi, just saw your ad, will you take {price}?",intro,hello and thank you for answering my add,177
-75.79685529994718,bike,seller,counter-price,"hi, the price for this bike is {listing_price}. it rode it twice. but i decided to purchase a car instead",init-price,"hi, just saw your ad, will you take {price}?",178
-66.45887907991381,bike,buyer,counter-price,"so you are telling me it is used, i come up some, how about {price} and i'll come pick it up.",counter-price,"hi, the price for this bike is {listing_price}. it rode it twice. but i decided to purchase a car instead",179
-78.3219216888698,bike,seller,counter-price,it is taking up space so i am selling it today. i have an offer for {price} and he can pick it up within the hour,counter-price,"so you are telling me it is used, i come up some, how about {price} and i'll come pick it up.",180
-71.0765149066949,bike,buyer,counter-price,"i am really poor, and have no other transportation. i can scounge up {price}, and i can through in a pan of fresh brownies",counter-price,it is taking up space so i am selling it today. i have an offer for {price} and he can pick it up within the hour,181
-34.45541191351193,bike,seller,unknown,okay we are good. i like you.,counter-price,"i lost my job, so i can't guarentee anything next week, i think i can get another {price} from my mom, so i can give you {price} total.",182
-3.443879347940896,bike,buyer,offer,<offer>,unknown,okay we are good. i like you.,183
-3.568819410226794,bike,seller,accept,<accept>,offer,<offer>,184
-15.83573754315915,phone,seller,intro,"hi there, are you interested?",<start>,<start>,185
-30.18822307113914,phone,buyer,init-price,hello. i am interested. i'm willing to pay {price}.,intro,"hi there, are you interested?",186
-46.44093892975614,phone,seller,counter-price,"that is really too low for such a high quality item, i could do {listing_price}?",init-price,hello. i am interested. i'm willing to pay {price}.,187
-75.56568898850942,phone,buyer,counter-price,"hmmm. {listing_price} is a bit much. how is the condition of the item? if it is in good condition, i could offer {price}.",counter-price,"that is really too low for such a high quality item, i could do {listing_price}?",188
-88.47313678864629,phone,seller,counter-price,"as you can read it is premium {title}, which only gets better with time. so excellent quality and offers maximum protection ... i would be willing to drop down and meet in the middle at {price} dollars ...",counter-price,"hmmm. {listing_price} is a bit much. how is the condition of the item? if it is in good condition, i could offer {price}.",189
-17.187872209001075,phone,buyer,agree,i agree. {partner_price} it is.,counter-price,"as you can read it is premium {title}, which only gets better with time. so excellent quality and offers maximum protection ... i would be willing to drop down and meet in the middle at {price} dollars ...",190
-3.443879347940896,phone,buyer,offer,<offer>,counter-price,"as you can read it is premium {title}, which only gets better with time. so excellent quality and offers maximum protection ... i would be willing to drop down and meet in the middle at {price} dollars ...",191
-3.568819410226794,phone,seller,accept,<accept>,offer,<offer>,192
-25.54212159094763,car,buyer,intro,does this car have automatic windshield wipers like every car ever invented?,<start>,<start>,193
-25.139927659686386,car,seller,unknown,i would assume so. it's a {title}.,intro,does this car have automatic windshield wipers like every car ever invented?,194
-40.21784258191181,car,buyer,unknown,you assume so? isn't it yours? is the title in your name?,unknown,i would assume so. it's a {title}.,195
-37.33578831941551,car,seller,unknown,yes i have a clear title and a clear vin.,unknown,you assume so? isn't it yours? is the title in your name?,196
-63.90199137920262,car,buyer,inquiry,"alright. i live about 200 miles away, if i were to buy it would you deliver to me?",unknown,yes i have a clear title and a clear vin.,197
-46.57434430774884,car,seller,disagree,and if it doesn't i could throw some in for you;),inquiry,"alright. i live about 200 miles away, if i were to buy it would you deliver to me?",198
-45.15747938205789,car,buyer,inquiry,"the price is pretty high, very high, can you throw out a more reasonable number?",disagree,and if it doesn't i could throw some in for you;),199
-15.659717998011594,car,seller,inform,make me an offer.,inquiry,"the price is pretty high, very high, can you throw out a more reasonable number?",200
-42.703098189636954,car,buyer,unknown,"my brother works for {title}, so i might get one through him",inform,make me an offer.,201
-16.325375732751187,car,seller,unknown,"ok, then go through him.",unknown,"my brother works for {title}, so i might get one through him",202
-11.318752790555056,car,buyer,agree,ok ...,unknown,"ok, then go through him.",203
-7.710665888631531,car,seller,quit,<quit>,agree,ok ...,204
-102.26271092492392,phone,buyer,init-price,hi there! i am interested in the phone you have for sale. i have seen some plans that come with this phone for {price} would you take that for this phone?,<start>,<start>,205
-41.20782007919705,phone,seller,counter-price,this phone is in really good shape. iwould be willing to let it go for {price}.,init-price,hi there! i am interested in the phone you have for sale. i have seen some plans that come with this phone for {price} would you take that for this phone?,206
-57.28032414822306,phone,buyer,counter-price,i may be able to come up to {price} would that be enough to take it off your hands?,counter-price,this phone is in really good shape. iwould be willing to let it go for {price}.,207
-25.635355863136667,phone,seller,agree,that sounds good to me. i will take {partner_price},counter-price,i may be able to come up to {price} would that be enough to take it off your hands?,208
-12.837929737941137,phone,buyer,unknown,great! thanks.,agree,that sounds good to me. i will take {my_price},209
-3.443879347940896,phone,buyer,offer,<offer>,agree,that sounds good to me. i will take {my_price},210
-3.568819410226794,phone,seller,accept,<accept>,offer,<offer>,211
-24.006795198574302,housing,buyer,intro,i'm very interested in renting this location.,<start>,<start>,212
-37.96968733071715,housing,seller,unknown,"it is a great location, and the unit is spacious and beautiful! {title}, 2 bath",intro,i'm very interested in renting this location.,213
-72.7001539358368,housing,buyer,unknown,"sounds nice, my wife has one on the way. how are the schools there? it's a bit too far from work ...",unknown,"it is a great location, and the unit is spacious and beautiful! {title}, 2 bath",214
-26.10294718578679,housing,seller,unknown,there is easy access to fwy 880 and dumbarton bridge-,unknown,"sounds nice, my wife has one on the way. how are the schools there? it's a bit too far from work ...",215
-29.549678942125375,housing,buyer,unknown,i heard a terrorist attack happened a few blocks away from there.,unknown,there is easy access to fwy 880 and dumbarton bridge-,216
-70.87130508944226,housing,seller,disagree,"this is a quiet community normally. and yes, there was an incident recently. however, our mayor has encouraged gun ownership by legal residents, and has promised not to prosecute any citizens who take out bad guys as needed, so we feel this is a great place to live.",unknown,i heard a terrorist attack happened a few blocks away from there.,217
-109.71487156308699,housing,buyer,init-price,"personally, i'd like to live near work, but the wife you know ... i got a place lined up for {price} a month, so there's a very wide gap here between what you are asking.",disagree,"this is a quiet community normally. and yes, there was an incident recently. however, our mayor has encouraged gun ownership by legal residents, and has promised not to prosecute any citizens who take out bad guys as needed, so we feel this is a great place to live.",218
-80.21092806750549,housing,seller,inquiry,do you believe in the right to self-defence? this is a great perk to living in the community. i can work with you on price some.,init-price,"personally, i'd like to live near work, but the wife you know ... i got a place lined up for {price} a month, so there's a very wide gap here between what you are asking.",219
-77.35467987545611,housing,buyer,counter-price,"sounds really great, but with the extra commute time, i think we may be too far apart. but ... need to keep the wife happy. how about {price}?",inquiry,do you believe in the right to self-defence? this is a great perk to living in the community. i can work with you on price some.,220
-44.572510892130516,housing,seller,agree,"if you promise to own, and learn how to shoot, if necessary, at least one handgun and one semi-auto rifle, i will take {partner_price}.",counter-price,"sounds really great, but with the extra commute time, i think we may be too far apart. but ... need to keep the wife happy. how about {price}?",221
-19.592817240106125,housing,buyer,unknown,great! make that offer:),agree,"if you promise to own, and learn how to shoot, if necessary, at least one handgun and one semi-auto rifle, i will take {my_price}.",222
-3.443879347940896,housing,seller,offer,<offer>,unknown,great! make that offer:),223
-3.568819410226794,housing,buyer,accept,<accept>,offer,<offer>,224
